Entity,Code,Year,Annual CO₂ emissions (tonnes )
Afghanistan,AFG,2010,8452224.14
Africa,,2010,1193783772
Albania,ALB,2010,4594656
Algeria,DZA,2010,117814076.6
Americas (other),,2010,2253918886
Andorra,AND,2010,516624
Angola,AGO,2010,28864472.37
Anguilla,AIA,2010,150224
Antigua and Barbuda,ATG,2010,523952
Argentina,ARG,2010,186686451.5
Armenia,ARM,2010,4260176
Aruba,ABW,2010,2506176
Asia and Pacific (other),,2010,4536618116
Australia,AUS,2010,406752772.7
Austria,AUT,2010,72383144.13
Azerbaijan,AZE,2010,30632888
Bahamas,BHS,2010,1652464
Bahrain,BHR,2010,29074829.99
Bangladesh,BGD,2010,58281848.69
Barbados,BRB,2010,1452631.84
Belarus,BLR,2010,63862389.67
Belgium,BEL,2010,113582031.4
Belize,BLZ,2010,538608
Benin,BEN,2010,4938944.44
Bermuda,BMU,2010,608224
Bhutan,BTN,2010,464157.57
Bolivia,BOL,2010,14941383.54
Bonaire Sint Eustatius and Saba,BES,2010,202737.5
Bosnia and Herzegovina,BIH,2010,21145640.45
Botswana,BWA,2010,4653585.98
Brazil,BRA,2010,411240192
British Virgin Islands,VGB,2010,172208
Brunei,BRN,2010,8060800
Bulgaria,BGR,2010,47792803.35
Burkina Faso,BFA,2010,1893940.54
Burundi,BDI,2010,212512
Cambodia,KHM,2010,4916927.86
Cameroon,CMR,2010,6662026.91
Canada,CAN,2010,555459693.7
Cape Verde,CPV,2010,556928
Cayman Islands,CYM,2010,556928
Central African Republic,CAF,2010,263808
Chad,TCD,2010,516624
Chile,CHL,2010,71329785.86
China,CHN,2010,8500542695
Colombia,COL,2010,75300420
Comoros,COM,2010,161216
Republic of the Congo,COG,2010,1969443.82
Cook Islands,COK,2010,69616
Costa Rica,CRI,2010,7428009.93
Cote d'Ivoire,CIV,2010,6063920
Croatia,HRV,2010,21245083.26
Cuba,CUB,2010,38172174.33
Curacao,CUW,2010,3902100.56
Cyprus,CYP,2010,8017876.96
Czech Republic,CZE,2010,117495552.1
Democratic Republic of Republic of the Congo,COD,2010,1963338.2
Denmark,DNK,2010,49292274.56
Djibouti,DJI,2010,516624
Dominica,DMA,2010,139232
Dominican Republic,DOM,2010,20574429.09
EU-28,,2010,3951262617
Ecuador,ECU,2010,35884097.21
Egypt,EGY,2010,198807663.8
